Ticker,Companies,CEO Pay,,,,,,,,,,,,,,,,
A,Agilent Technologies,15967631,,,,,,,,,,,,,,,,
AAL,American Airlines,7238011,,,,,,,,,,,,,,,,
AAP,Advance Auto Parts,10052271,,,,,,,,,,,,,,,,
AAPL,Apple,98734394,,,,,,,,,,,,,,,,
ABBV,AbbVie,23912154,,,,,,,,,,,,,,,,
ABC,AmerisourceBergen,14873815,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,24914886,,,,,,,,,,,,,,,,
ACN,Accenture,23085391,,,,,,,,,,,,,,,,
ADBE,Adobe,36128725,,,,,,,,,,,,,,,,
ADI,Analog Devices,30824323,,,,,,,,,,,,,,,,
ADM,Archer-Daniels-Midland Company,23508841,,,,,,,,,,,,,,,,
ADP,Automatic Data Processing,16985259,,,,,,,,,,,,,,,,
ADSK,Autodesk,22095521,,,,,,,,,,,,,,,,
AEE,Ameren,9807836,,,,,,,,,,,,,,,,
AEP,American Electric Power Company,15051215,,,,,,,,,,,,,,,,
AES,The AES,14379190,,,,,,,,,,,,,,,,
AFL,Aflac,15728233,,,,,,,,,,,,,,,,
AIG,American International Group,21905220,,,,,,,,,,,,,,,,
AIZ,Assurant,11504780,,,,,,,,,,,,,,,,
AJG,Arthur J Gallagher & Co,13882255,,,,,,,,,,,,,,,,
AKAM,Akamai,11951574,,,,,,,,,,,,,,,,
ALB,Albemarle,9040753,,,,,,,,,,,,,,,,
ALGN,Align Technology,21591400,,,,,,,,,,,,,,,,
ALK,Alaska Air Group,5130162,,,,,,,,,,,,,,,,
ALL,The Allstate,19066920,,,,,,,,,,,,,,,,
ALLE,Allegion,7688243,,,,,,,,,,,,,,,,
AMAT,Applied Materials,35265559,,,,,,,,,,,,,,,,
AMCR,Amcor,10991148,,,,,,,,,,,,,,,,
AMD,Advanced Micro Devices,29498107,,,,,,,,,,,,,,,,
AME,AMETEK,12919431,,,,,,,,,,,,,,,,
AMGN,Amgen,21721154,,,,,,,,,,,,,,,,
AMP,Ameriprise Financial,21229464,,,,,,,,,,,,,,,,
AMT,American Tower,16114574,,,,,,,,,,,,,,,,
AMZN,Amazon,212701169,,,,,,,,,,,,,,,,
ANET,Arista Networks,15993632,,,,,,,,,,,,,,,,
ANSS,ANSYS,18260634,,,,,,,,,,,,,,,,
AON,Aon,19868384,,,,,,,,,,,,,,,,
AOS,A.O. Smith,6897982,,,,,,,,,,,,,,,,
APA,APA,15040707,,,,,,,,,,,,,,,,
APD,Air Products and Chemicals,13819010,,,,,,,,,,,,,,,,
APH,Amphenol,13092697,,,,,,,,,,,,,,,,
APTV,Aptiv,14744780,,,,,,,,,,,,,,,,
ARE,Alexandria Real Estate Equities,8320228,,,,,,,,,,,,,,,,
ATO,Atmos Energy,6467314,,,,,,,,,,,,,,,,
ATVI,Activision Blizzard,826549,,,,,,,,,,,,,,,,
AVB,AvalonBay Communities,14371460,,,,,,,,,,,,,,,,
AVGO,Broadcom,60703627,,,,,,,,,,,,,,,,
AVY,Avery Dennison,12433721,,,,,,,,,,,,,,,,
AWK,American Water Works Company,7398128,,,,,,,,,,,,,,,,
AXP,American Express Company,25513922,,,,,,,,,,,,,,,,
AZO,AutoZone,14838996,,,,,,,,,,,,,,,,
BA,The Boeing Company,21093605,,,,,,,,,,,,,,,,
BAC,Bank of America,23729169,,,,,,,,,,,,,,,,
BAX,Baxter International,15634734,,,,,,,,,,,,,,,,
BBWI,Bath & Body Works,17668627,,,,,,,,,,,,,,,,
BBY,Best Buy Co,15631157,,,,,,,,,,,,,,,,
BDX,Becton Dickinson and Company,14189333,,,,,,,,,,,,,,,,
BEN,Franklin Resources,9862161,,,,,,,,,,,,,,,,
BF.B,Brown-Forman,8364936,,,,,,,,,,,,,,,,
BIIB,Biogen,17689665,,,,,,,,,,,,,,,,
BIO,Bio-Rad Laboratories,8695925,,,,,,,,,,,,,,,,
BK,The Bank of New York Mellon,14128042,,,,,,,,,,,,,,,,
BKNG,Booking Holdings,53982195,,,,,,,,,,,,,,,,
BKR,Baker Hughes Company,15646452,,,,,,,,,,,,,,,,
BLK,BlackRock,32587335,,,,,,,,,,,,,,,,
BMY,Bristol-Myers Squibb Company,19784806,,,,,,,,,,,,,,,,
BR,Broadridge Financial Solutions,10253156,,,,,,,,,,,,,,,,
BRK.B,Berkshire Hathaway,373204,,,,,,,,,,,,,,,,
BRO,Brown & Brown,9201035,,,,,,,,,,,,,,,,
BSX,Boston Scientific,16064039,,,,,,,,,,,,,,,,
BWA,BorgWarner,17592090,,,,,,,,,,,,,,,,
BXP,Boston Properties,12894537,,,,,,,,,,,,,,,,
C,Citigroup,20541324,,,,,,,,,,,,,,,,
CAG,Conagra Brands,11770023,,,,,,,,,,,,,,,,
CAH,Cardinal Health,12482378,,,,,,,,,,,,,,,,
CARR,Carrier Global,14892815,,,,,,,,,,,,,,,,
CAT,Caterpillar,24298032,,,,,,,,,,,,,,,,
CB,Chubb Limited,23181184,,,,,,,,,,,,,,,,
CBOE,Cboe Global Markets,10646558,,,,,,,,,,,,,,,,
CBRE,CBRE Group,13908085,,,,,,,,,,,,,,,,
CCI,Crown Castle International,14553510,,,,,,,,,,,,,,,,
CCL,Carnival,15063788,,,,,,,,,,,,,,,,
CDAY,Ceridian HCM Holding,10626701,,,,,,,,,,,,,,,,
CDNS,Cadence Design Systems,21735794,,,,,,,,,,,,,,,,
CDW,CDW,8943903,,,,,,,,,,,,,,,,
CE,Celanese,12570992,,,,,,,,,,,,,,,,
CEG,Constellation Energy,15757378,,,,,,,,,,,,,,,,
CF,CF Industries Holdings,11685670,,,,,,,,,,,,,,,,
CFG,Citizens Financial Group,12430076,,,,,,,,,,,,,,,,
CHD,Church & Dwight Co,8889526,,,,,,,,,,,,,,,,
CHRW,C H Robinson Worldwide,10233276,,,,,,,,,,,,,,,,
CHTR,Charter Communications,41860263,,,,,,,,,,,,,,,,
CI,Cigna,19872266,,,,,,,,,,,,,,,,
CINF,Cincinnati Financial,6490767,,,,,,,,,,,,,,,,
CL,Colgate-Palmolive Company,15458151,,,,,,,,,,,,,,,,
CLX,The Clorox Company,7899309,,,,,,,,,,,,,,,,
CMA,Comerica orporated,7696094,,,,,,,,,,,,,,,,
CMCSA,Comcast,33978581,,,,,,,,,,,,,,,,
CME,CME Group,22924737,,,,,,,,,,,,,,,,
CMG,Chipotle Mexican Grill,17880580,,,,,,,,,,,,,,,,
CMI,Cummins,15645919,,,,,,,,,,,,,,,,
CMS,CMS Energy,6871068,,,,,,,,,,,,,,,,
