"For the AsYouSow sheet, ""1"" means ""yes, the company met the screen"" and ""0"" means ""no, the company did not meet the screen"".",,
https://www.asyousow.org/invest-your-values/spreadsheets,,
Fossil Free Funds, Coal screen,"The coal screen is comprised of companies assigned to the Morningstar thermal coal or coking coal industries, as well as all companies on the Global Coal Exit List with coal mining operations, and the top 100 coal reserve holders from the Carbon Underground 200. Learn more at https://fossilfreefunds.org/how-it-works"
Fossil Free Funds, Oil / gas screen,"The oil / gas screen is comprised of companies assigned to the following Morningstar Oil and Gas industries: Drilling, Exploration & Production, Integrated, Midstream, Refining & Marketing, and Equipment & Services; upstream and midstream companies from the Global Oil/Gas Exit List; and the top 100 oil / gas reserve holders from the Carbon Underground 200. Learn more at https://fossilfreefunds.org/how-it-works"
Fossil Free Funds, Macroclimate 30 coal-fired utility screen,The Macroclimate 30 is an exclusion list of the 30 largest public-company owners of coal-fired power plants in Developed Markets plus China and India. Macroclimate compiled the list of 30 companies using open-source data on coal-fired power plants worldwide. Learn more at https://fossilfreefunds.org/how-it-works
Fossil Free Funds, Fossil-fired utility screen,"The utilities screen is comprised of companies assigned to the following Morningstar Utilities industries: Regulated Electric, Regulated Gas, Independent Power Producers, and Diversified, as well as all companies on the Global Coal Exit List with coal power operations. We remove any companies in these categories that are engaged in 100 percent renewable operations, pure transmission, or otherwise don't burn or transport fossil fuels. Learn more at https://fossilfreefunds.org/how-it-works"
Fossil Free Funds, Fossil fuel finance screen,"The fossil fuel finance screen is comprised of 60 of the largest commercial and investment banks, from the Banking on Climate Chaos report. The report tracks their total fossil fuel financing: lending, and underwriting debt and equity issuances. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds, Fossil fuel finance risk score,"The company fossil fuel finance risk scores come from the Banking on Climate Chaos report fossil fuel financing amounts, normalized from $USD to a 0-10 scale, where 10 is the worst score possible. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds, Fossil fuel insurance screen,"The fossil fuel insurance screen is comprised of 30 of the largest primary insurers and reinsurers, from the Insure Our Future scorecard. The scorecard rates their fossil fuel insurance policies. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds, Fossil fuel insurance risk score,"The company fossil fuel insurance risk scores come from the Insure Our Future scorecard fossil fuel insurance policy ratings, normalized to a 0-10 scale, where 10 is the worst score possible. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds, Clean200 screen,"The Clean200 is a positive screen for companies that are leading the way with solutions for the transition to clean energy. The Clean200 are the largest 200 public companies ranked by green energy revenues. It was first calculated on July 1, 2016 and publicly released on August 15, 2016 by orate Knights and As You Sow. Learn more at https://www.asyousow.org/clean200"
Deforestation Free Funds, Producer screen,"The deforestation-risk agricultural commodity producers and traders screen is comprised of companies identified by Friends of the Earth as companies involved in producing and trading palm oil, paper/pulp, rubber, timber, cattle, and soy, and having a past record or a significant risk of contributing to deforestation, land grabbing, and human rights abuses. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Banks and lenders screen,The deforestation-risk banks and lenders screen is comprised of companies identified by Friends of the Earth as financial institutions directly and indirectly involved in underwriting and lending to deforestation-risk producers and traders. These are the publicly listed banks drawn from the platform Forests & Finance. Learn more at https://deforestationfreefunds.org/how-it-works
Deforestation Free Funds, Major consumer brands screen,"The deforestation-risk major consumer brands screen is comprised of companies identified by Friends of the Earth as consumer goods retailers that source palm oil, paper/pulp, rubber, timber, cattle, and soy from deforestation-risk producers and traders and sell it to consumers worldwide. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Palm oil producer screen,"Assigned to the palm oil producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Palm oil consumer brand screen,"Assigned to the palm oil consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Paper / pulp producer screen,"Assigned to the Paper / pulp producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Paper / pulp consumer brand screen,"Assigned to the paper / pulp consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Rubber producer screen,"Assigned to the rubber producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Rubber consumer brand screen,"Assigned to the rubber consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Timber producer screen,"Assigned to the timber producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Timber consumer brand screen,"Assigned to the timber consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Cattle producer screen,"Assigned to the cattle producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Cattle consumer brand screen,"Assigned to the cattle consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Soy producer screen,"Assigned to the soy producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds, Soy consumer brand screen,"Assigned to the soy consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Gun Free Funds, Gun manufacturers screen,The gun manufacturers screen is comprised of publicly traded companies identified as manufacturers of firearms or ammunition for the civilian market by As You Sow. Learn more at https://weaponfreefunds.org/how-it-works
Gun Free Funds, Gun retailers screen,The gun retailers screen is comprised of publicly traded companies identified as retailers of firearms or ammunition for the civilian market by As You Sow. Learn more at https://weaponfreefunds.org/how-it-works
Prison Free Funds, Prison industry screen,"Companies with involvement in the prison industrial complex via the prison industry, luding arceration and detention facilities, services in facilities, and supervision and monitoring, as identified by the American Friends Service Committee. Learn more at https://prisonnfreefunds.org/how-it-works"
Prison Free Funds, Border industry screen,"Companies with involvement in the prison industrial complex via the border industry, luding arceration and detention facilities, militarization of the U.S.-Mexico border, and immigrant monitoring and surveillance, as identified by the American Friends Service Committee. Learn more at https://prisonnfreefunds.org/how-it-works"
Prison Free Funds, Higher risk screen,"Companies earning worse results from the American Friends Service Committee prison industry and border industry scoring rubrics. Companies are assessed on three criteria: the salience of the human rights violation, the company's responsibility for the violation, and the company's responsiveness. Companies that earn more than 10 points for the prison industry or border industry in the AFSC rubric are marked ""higher risk"" on Prison Free Funds. Learn more at https://prisonnfreefunds.org/how-it-works"
Prison Free Funds, Private prison operators screen,Companies that directly operate private prison or immigrant detention facilities. These are the highest risk companies screened for by Prison Free Funds. Learn more at https://prisonnfreefunds.org/how-it-works
Weapons Free Funds, Major military contractor screen,"The major military contractors screen is comprised of the publicly traded companies from the Stockholm International Peace Research Institute (SIPRI) Arms Industry Database. The database contains information on arms-producing and military services, luding financial data for arms-producing companies in the OECD and developing countries (except China) based on open sources. Learn more at https://weaponfreefunds.org/how-it-works"
Weapons Free Funds, Cluster munitions screen,The cluster munitions screen is comprised of the publicly traded companies identified in PAX's Worldwide investments in Cluster Munitions: A Shared Responsibility (2018) report. Learn more at https://weaponfreefunds.org/how-it-works
Weapons Free Funds, Nuclear weapons screen,The nuclear weapons screen is comprised of the publicly traded companies identified as nuclear weapon manufacturers or servicers in PAX's Don't Bank on the Bomb report. Learn more at https://weaponfreefunds.org/how-it-works
Tobacco Free Funds, Tobacco producers screen,The tobacco producers screen is comprised of companies assigned to the Morningstar tobacco industry. Learn more at https://tobaccofreefunds.org/how-it-works
Tobacco Free Funds, Tobacco-promoting entertainment companies screen,The tobacco-promoting entertainment companies screen is comprised of companies identified by UCSF's Smoke Free Movies campaign. Learn more at https://tobaccofreefunds.org/how-it-works
