Ticker,Company,Total Spent,Affliation
AAPL,Apple,"$15,110,000.00",Business Roundtable
ABBV,AbbVie,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
ABBV,AbbVie,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
ABBV,AbbVie,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
ABT,Abbott,"$59,610,000.00",US Chamber of Commerce
ABT,AEAI,"$59,610,000.00",US Chamber of Commerce
ACN,Accenture,"$18,904,914.00",American Hospital Assn
ACN,Accenture,"$15,110,000.00",Business Roundtable
AFL,Aflac,"$10,800,000.00",America's Health Insurance Plans
ALB,Albemarle Corporation,"$14,230,000.00",American Chemistry Council
AMGN,Amgen,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
AMGN,Amgen,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
AMGN,Amgen,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
AMZN,Amazon,"$16,090,000.00",None
BBY,Best Buy,"$15,110,000.00",Business Roundtable
BIIB,Biogen,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
BIIB,Biogen,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
BIIB,Biogen,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
BMY,Bristol Myers Squibb,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
BMY,Bristol Myers Squibb,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
BMY,Bristol Myers Squibb,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
C,Citi,"$59,610,000.00",US Chamber of Commerce
CAT,"Caterpillar, Inc.","$59,610,000.00",US Chamber of Commerce
CE,Celanese,"$14,230,000.00",American Chemistry Council
CI,Cigna,"$10,800,000.00",America's Health Insurance Plans
CI,Cigna,"$18,904,914.00",American Hospital Assn
CMCSA,Comcast,"$10,780,000.00",None
CSCO,Cisco Systems,"$15,110,000.00",Business Roundtable
CTVA,Corteva Agriscience,"$14,230,000.00",American Chemistry Council
CVS,CVS Health,"$10,800,000.00",America's Health Insurance Plans
CVX,Chevron,"$14,230,000.00",American Chemistry Council
DD,DuPont,"$14,230,000.00",American Chemistry Council
DOV,Dover Chemical Corporation,"$14,230,000.00",American Chemistry Council
DOW,Dow,"$14,230,000.00",American Chemistry Council
DOW,Dow Inc.,"$15,110,000.00",Business Roundtable
DUK,Duke Energy,"$15,110,000.00",Business Roundtable
ELV,Elevance Health,"$10,800,000.00",America's Health Insurance Plans
EMN,Eastman Chemical Company,"$14,230,000.00",American Chemistry Council
ETN,Eaton Corporation,"$15,110,000.00",Business Roundtable
FMC,FMC Corporation,"$14,230,000.00",American Chemistry Council
GE,General Electric,"$59,610,000.00",US Chamber of Commerce
GILD,Gilead Sciences,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
GILD,Gilead Sciences,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
GILD,Gilead Sciences,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
GILD,"Gilead Sciences, Inc.","$59,610,000.00",US Chamber of Commerce
GM,General Motors,"$15,110,000.00",Business Roundtable
GOOGL,Alphabet,"$9,928,000.00",None
GOOGL,Google,"$59,610,000.00",US Chamber of Commerce
HON,Honeywell,"$14,230,000.00",American Chemistry Council
HON,Ingevity Corporation,"$14,230,000.00",American Chemistry Council
HUM,Humana,"$10,800,000.00",America's Health Insurance Plans
INCY,Incyte,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
INCY,Incyte,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
INCY,Incyte,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
JCI,Johnson Controls,"$15,110,000.00",Business Roundtable
JNJ,Johnson & Johnson,"$15,110,000.00",Business Roundtable
JNJ,Johnson & Johnson,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
JNJ,Johnson & Johnson,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
JNJ,Johnson & Johnson,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
JPM,JPMorgan Chase,"$15,110,000.00",Business Roundtable
KO,The Coca-Cola Company,"$59,610,000.00",US Chamber of Commerce
LIN,Linde plc,"$14,230,000.00",American Chemistry Council
LLY,Eli Lilly and Company,"$14,230,000.00",American Chemistry Council
LLY,Eli Lilly and Company,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
LLY,Eli Lilly and Company,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
LLY,Eli Lilly and Company,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
LMT,Lockheed Martin,"$10,123,245.00",None
LYB,LyondellBasell,"$14,230,000.00",American Chemistry Council
MAR,Marriott International,"$15,110,000.00",Business Roundtable
META,Meta,"$15,500,000.00",None
META,Meta Platforms,"$59,610,000.00",US Chamber of Commerce
MMM,3M,"$14,230,000.00",American Chemistry Council
MMM,3M,"$18,904,914.00",American Hospital Assn
MRK,"Merck & Co., Inc.","$14,230,000.00",American Chemistry Council
MRK,Merck & Co.,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
MRK,Merck & Co.,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
MRK,Merck & Co.,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
ORCL,Oracle,"$18,904,914.00",American Hospital Assn
ORCL,Oracle,"$9,590,000.00",None
PEP,PepsiCo,"$59,610,000.00",US Chamber of Commerce
PFE,Pfizer,"$11,580,000.00",None
PFE,Pfizer,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
PFE,Pfizer,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
PFE,Pfizer,"$22,382,000.00",Pharmaceutical Research & Manufacturers of America
PFE,Pfizer,"$59,610,000.00",US Chamber of Commerce
PG,"Procter & Gamble, Chemicals Division",,American Chemistry Council
PG,Procter & Gamble,"$15,110,000.00",Business Roundtable
PG,Procter & Gamble,"$59,610,000.00",US Chamber of Commerce
PGR,Progressive Corporation,"$15,110,000.00",Business Roundtable
PPG,"PPG Industries, Inc.","$14,230,000.00",American Chemistry Council
PYPL,PayPal,"$15,110,000.00",Business Roundtable
RTX,Raytheon Technologies,"$15,110,000.00",Business Roundtable
SPGI,S&P Global,"$15,110,000.00",Business Roundtable
SPGI,S&P Global,"$59,610,000.00",US Chamber of Commerce
T,AT&T,"$9,450,000.00",None
TGT,Target,"$59,610,000.00",US Chamber of Commerce
UNP,Union Pacific,"$15,110,000.00",Business Roundtable
WMT,Walmart,"$15,110,000.00",Business Roundtable
XOM,ExxonMobil Product Solutions Company,"$14,230,000.00",American Chemistry Council
XOM,ExxonMobil,"$59,610,000.00",US Chamber of Commerce
