Ticker,Company,Overall D&I Score
ACN,Accenture,86.75
BAC,Bank of America,76.75
BLK,BlackRock,74.25
CL,Colgate-Palmolive Company,73
COP,ConocoPhillips,73.25
DOW,Dow,72.5
ECL,Ecolab,71.75
EL,Estee Lauder Companies,77.25
F,Ford Otomotiv Sanayi AS,75.25
HPE,Hewlett Packard Enterprise Co,73.5
ILMN,"Illumina,",81.25
JNJ,Johnson & Johnson,76.75
KO,Coca Cola HBC AG,76.75
MAR,Marriott International,75.5
MCO,Moody's,73.25
MDT,Medtronic,77.25
MO,Altria Group,71.5
MRK,"Merck & Co.,",74.5
PARA,Paramount Global,79.5
PEP,PepsiCo,72.75
RL,Ralph Lauren,75.25
SPGI,S&P Global,72.5
TGT,Target,72.5
UNP,Union Pacific,74.75
WBA,Walgreens Boots Alliance,73
