Ticker,Company,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1999
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,1934
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1932
AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,2013 (1888)
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1985
ABT,Abbott,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1888
ACGL,Arch Capital Group,reports,Financials,Reinsurance,"Hamilton, Bermuda",2022-11-01,1995
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989
ADBE,Adobe,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,1982
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,1902
ADP,ADP,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,1949
ADSK,Autodesk,reports,Information Technology,Application Software,"San Francisco, California",1989-12-01,1982
AEE,Ameren,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1902
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,1906
AES,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",1980-03-31,1919
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",2007-04-10,1892
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,1927
AKAM,Akamai,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998
ALB,Albemarle,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,1994
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1997
ALK,Alaska Air Group,reports,Industrials,Airlines,"SeaTac, Washington",2016-05-13,1985
ALL,Allstate,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,1931
ALLE,Allegion,reports,Industrials,Building Products,"New York City, New York",2013-12-02,1908
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,1967
AMCR,Amcor,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,2019 (1860)
AMD,AMD,reports,Information Technology,Semiconductors,"Santa Clara, California",,1969
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1930
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,1980
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,1894
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1995
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1994
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,2004
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1969
AON,Aon,reports,Financials,Insurance Brokers,"London, UK",1996-04-23,1982 (1919)
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,1916
APA,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1954
APD,Air Products and Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,1932
APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,1994
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1994
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,1906
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,2008
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia",2007-01-10,1978
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1961
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31,1990
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1886
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",1976-06-30,1850
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,1979
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,1916
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,1998 (1923 / 1874)
BALL,Ball,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,1880
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,1931
BBWI,"Bath & Body Works, ",reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",1983-09-30,1963
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,1966
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,1897
BEN,Franklin Templeton,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947
BF.B,Brown–Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,1870
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,1978
BIO,Bio-Rad,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,1952
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1784
