Ticker,Company,Average Age
A,Agilent Technologies,56
AAL,American Airlines Group,61
AAP,Advance Auto Parts,57.88888889
AAPL,Apple,59
ABBV,AbbVie,58.75
ABC,AmerisourceBergen,59.22222222
ABMD,Abiomed,56.14285714
ABT,Abbott Laboratories,54.625
ACN,Accenture,56.44444444
ADBE,Adobe,59.55555556
ADI,Analog Devices,59.55555556
ADM,ADM,55.77777778
ADP,Automatic Data Processing,55.14285714
ADSK,Autodesk,54.16666667
AEE,Ameren ,56.55555556
AEP,American Electric Power,55.375
AES,AES ,51.55555556
AFL,Aflac,57.66666667
AIG,American International Group,57.11111111
AIZ,Assurant,52
AJG,Arthur J. Gallagher & Co.,63.375
AKAM,Akamai Technologies,53.14285714
ALB,Albemarle ,56.25
ALGN,Align Technology,54.44444444
ALK,Alaska Air Group,54.71428571
ALL,Allstate ,62.28571429
ALLE,Allegion,57.66666667
AMAT,Applied Materials,61.375
AMCR,Amcor,55.25
AMD,Advanced Micro Devices,58.57142857
AME,Ametek,59
AMGN,Amgen,58.85714286
AMP,Ameriprise Financial,62.42857143
AMT,American Tower,59.375
AMZN,Amazon,57.33333333
ANET,Arista Networks,56.16666667
ANSS,Ansys,56
AON,Aon,52.66666667
AOS,A. O. Smith,56.9
APA,APA ,55.6
APD,Air Products & Chemicals,60
APH,Amphenol,56.125
APTV,Aptiv,54.28571429
ARE,Alexandria Real Estate Equities,55.7
ATO,Atmos Energy,57.75
ATVI,Activision Blizzard,50.625
AVB,AvalonBay Communities,56.875
AVGO,Broadcom,59.25
AVY,Avery Dennison,52.125
AWK,American Water Works,57.42857143
AXP,American Express,58.375
AZO,AutoZone,54.22222222
BA,Boeing,56.375
BAC,Bank of America,54.875
BALL,Ball ,56.28571429
BAX,Baxter International,54.85714286
BBWI,Bath & Body Works ,57.5
BBY,Best Buy,54.44444444
BDX,Becton Dickinson,52.28571429
BEN,Franklin Resources,60.75
BF-B,Brown–Forman,55.22222222
BIIB,Biogen,60.66666667
BIO,Bio-Rad Laboratories,59.14285714
BK,BNY Mellon,53.5
BKNG,Booking Holdings,55.85714286
BKR,Baker Hughes,52.375
BLK,BlackRock,59.71428571
BMY,Bristol Myers Squibb,56
BR,Broadridge Financial Solutions,59.85714286
BRK-B,Berkshire Hathaway,79.4
BRO,Brown & Brown,54.625
